Genus,Species,Family,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Pseudocheilinus,citrinus,Labridae,0.0166,2.95,1,6.6,standard length,3.4,14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pseudocoris,aurantiofasciatus,Labridae,0.01,3.06,1,20,total length,3.4,29,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pseudanthias,smithvanizi,Serranidae,0.00389,3.12,1,9.5,total length,3.4,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Kyphosus,sydneyanus,Kyphosidae,0.01904,3.055,1,80,total length,2,58.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,large group
Lutjanus,decussatus,Lutjanidae,0.0421,2.887,0.851064,35,total length,4.02,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Gymnothorax,breedeni,Muraenidae,0.00095,3.1,1,100,total length,4.5,59.14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Carcharhinus,fitzroyensis,Carcharhinidae,0.00142,3.292,1,135,total length,4.1,57,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Brevoortia,patronus,Clupeidae,0.0119,3.2,0.824,35,standard length,2.19,30.7,"Tropical Atlantic",,planktivore,planktivore,large group
Lucayablennius,zingaro,Chaenopsidae,0.00457,3.08,1,5,standard length,3.5,10,"Tropical Atlantic",,planktivore,planktivore,small group
Xanthichthys,auromarginatus,Balistidae,0.0257,2.94,1,30,total length,3,31.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Conger,triporiceps,Congridae,0.00048,3.24,1,100,total length,4,57,"Tropical Atlantic",,piscivore,pisci-invertivore,solitary
Emblemariopsis,signifer,Chaenopsidae,0.00457,3.08,1,3.3,standard length,3.3,10,"Tropical Atlantic",,planktivore,planktivore,small group
Paracheilinus,angulatus,Labridae,0.00977,3.05,1,7.5,total length,3.4,13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Taenianotus,triacanthus,Scorpaenidae,0.0123,3.02,1,10,total length,4.06,25.03,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Sargocentron,seychellense,Holocentridae,0.0166,2.97,1,27,total length,3.6,20.59,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Acanthistius,serratus,Serranidae,0.00933,2.97,1,50,total length,4.1,49.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Ogcocephalus,darwini,Ogcocephalidae,0.01995,2.95,1,20.3,standard length,3.44,44.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Scorpaenodes,guamensis,Scorpaenidae,0.026409,2.883167,1,14,total length,3.39,30.22,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Carcharhinus,sealei,Carcharhinidae,0.00468,3.1,1,100,total length,4.21,39.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,solitary
Othos,dentex,Serranidae,0.00933,2.97,1,75,total length,4.5,67.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Chirocentrus,dorab,Chirocentridae,0.010812,2.820307,1,100,standard length,4.4,60.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,medium group
Pictilabrus,viridis,Labridae,0.01,3.04,1,14.05,standard length,3.4,27.68,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Cynoscion,jamaicensis,Sciaenidae,0.007342,3.143446,1,50,total length,3.84,31.66,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Carangoides,dinema,Carangidae,0.01905,2.94,1,85,total length,4.03,32.16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Pomacanthus,arcuatus,Pomacanthidae,0.0344,2.968,1,60,total length,3.19,51.36,"Tropical Atlantic",,invertivore-sessile,spongivore,solitary
Cirrhilabrus,flavidorsalis,Labridae,0.0166,2.95,1,6.5,total length,3.3,12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Trachinotus,baillonii,Carangidae,0.01288,2.96,1,60,total length,3.56,35.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Membras,analis,Atherinopsidae,0.00525,3.08,1,12,total length,3.4,14.62,"Tropical Atlantic",,planktivore,planktivore,large group
Fowlerichthys,ocellatus,Antennariidae,0.01995,3.01,1,38,total length,4.05,20,"Tropical Atlantic",,piscivore,pisci-invertivore,solitary
Epinephelus,poecilonotus,Serranidae,0.01148,3.04,1,65,total length,4.01,52.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Neoodax,balteatus,Odacidae,0.00389,3.12,1,14,standard length,2.8,14.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,small group
Pseudochromis,bitaeniatus,Pseudochromidae,0.01175,3.01,1,12,total length,3.6,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pagrus,pagrus,Sparidae,0.015137,3.042053,1,91,total length,3.86,66.42,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Atherinomorus,lacunosus,Atherinidae,0.006517,3.193236,1,25,total length,3.16,39.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Myripristis,pralinia,Holocentridae,0.0234,3.082005,0.925,20,total length,3.46,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Notolabrus,fucicola,Labridae,0.00781,3.161,1,38,total length,3.7,51.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Chromis,randalli,Pomacentridae,0.01479,2.98,1,15,total length,3,35,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Gymnothorax,meleagris,Muraenidae,0.00095,3.1,1,120,total length,3.98,66.78,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Plectranthias,wheeleri,Serranidae,0.02512,2.97,1,8.28,standard length,3.8,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Schuettea,woodwardi,Monodactylidae,0.02512,2.97,1,24,total length,3.4,12.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Halichoeres,kallochroma,Labridae,0.01,3.08,1,12,total length,3.4,21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Parapercis,xanthozona,Pinguipedidae,0.01329,2.88982,1,23,total length,3.6,30.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Sargocentron,dorsomaculatum,Holocentridae,0.0166,2.97,1,19.66,standard length,3.6,17.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Tautoga,onitis,Labridae,0.027794,2.948504,1,91,total length,3.32,69.45,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,small group
Parma,mccullochi,Pomacentridae,0.00239,2.99,1,20,standard length,2.79,36.72,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Halichoeres,malpelo,Labridae,0.0049,3.11,1,15,total length,3.4,24.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Chromis,analis,Pomacentridae,0.01778,2.99,1,17,total length,3.04,28.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Scorpaena,mystes,Scorpaenidae,0.01778,3.04,1,45.7,total length,3.9,58.68,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Pseudolabrus,japonicus,Labridae,0.01995,2.99,1,25,total length,3.1,32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Heterodontus,mexicanus,Heterodontidae,0.00389,3.12,1,170,total length,4.15,83.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Sphyraena,novaehollandiae,Sphyraenidae,0.022765,2.497195,1,100,total length,4.5,55.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,large group
Rhinecanthus,aculeatus,Balistidae,0.0522,2.641,1,30,total length,3.22,29.81,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Coris,venusta,Labridae,0.01,3.06,1,19.3,total length,3.58,27.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Anampses,elegans,Labridae,0.01,3.06,1,29,total length,3.5,34.73,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Eucinostomus,argenteus,Gerreidae,0.008412,3.090591,1,20,total length,3.32,16.13,"Tropical Atlantic",,omnivore,macro-invertivore,medium group
Scarus,caudofasciatus,Scaridae,0.01445,3.04,1,50,total length,2,34.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,solitary
Diapterus,rhombeus,Gerreidae,0.01143,3.033228,1,40,total length,3.06,18.14,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Mycteroperca,acutirostris,Serranidae,0.00772,3.2387,1,80,total length,3.4,57.83,"Tropical Atlantic",,planktivore,planktivore,small group
Cirripectes,springeri,Blenniidae,0.00741,3,1,10,total length,2,20.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Cephaloscyllium,laticeps,Scyliorhinidae,0.00324,3.11,1,150,total length,4.3,80.48,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Rhinecanthus,lunula,Balistidae,0.0522,2.641,1,28,total length,3.5,29.58,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Cirrhilabrus,rubrimarginatus,Labridae,0.01,3.04,1,12.2,standard length,3.5,25.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Girella,tricuspidata,Kyphosidae,0.01433,3.022,1,71,fork length,2.47,36.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,large group
Centropyge,multispinis,Pomacanthidae,0.0302,2.89,1,14,total length,2.79,21.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,pair
Ogilbichthys,microphthalmus,Bythitidae,0.01,3.04,1,3.8,standard length,3.2,10,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Cirrhilabrus,condei,Labridae,0.0166,2.95,1,8,total length,3.3,14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Zebrasoma,gemmatum,Acanthuridae,0.02344,2.97,1,22,total length,2,22.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Gymnocranius,griseus,Lethrinidae,0.0304,2.95,0.913242,35,total length,3.22,37.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Paralichthys,dentatus,Paralichthyidae,0.0155,3.12,1,94,total length,3.45,46.85,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Parupeneus,macronemus,Mullidae,0.00538,3.32293,1,40,total length,3.5,33.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Synanceia,verrucosa,Synanceiidae,0.01122,3.04,1,40,standard length,4.2,58.16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Wetmorella,albofasciata,Labridae,0.01995,3,1,6,total length,3.3,11.03,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Parupeneus,nansen,Mullidae,0.01202,3.09,1,13.9,standard length,3.4,19.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Trachurus,novaezelandiae,Carangidae,0.03487,2.77,1,50,standard length,3.22,37.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Parapriacanthus,ransonneti,Pempheridae,0.01122,3.04,1,10,total length,3.4,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Lipogramma,evides,Grammatidae,0.01122,3.04,1,4,total length,3.2,10,"Tropical Atlantic",,invertivore-mobile,micro-invertivore,solitary
Corythoichthys,insularis,Syngnathidae,0.00049,3.1,1,10,standard length,3.6,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,pair
Plectorhinchus,picus,Haemulidae,0.011985,3.05946,1,84,total length,3.85,50.09,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Parupeneus,biaculeatus,Mullidae,0.01202,3.09,1,19,standard length,3.4,25.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Chrysiptera,talboti,Pomacentridae,0.01479,2.98,1,6,total length,2.8,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,
Pseudanthias,engelhardi,Serranidae,0.00933,2.97,1,10,total length,3.3,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Parapercis,haackei,Pinguipedidae,0.00646,3.1,1,10,total length,3.4,16.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Lethrinus,genivittatus,Lethrinidae,0.015309,2.971004,1,25,total length,3.61,17.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Microcanthus,strigatus,Kyphosidae,0.05255,2.81831,0.976,16,total length,3,22.52,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,large group
Platax,batavianus,Ephippidae,0.02455,2.96,1,65,standard length,3.5,51.72,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Lethrinus,conchyliatus,Lethrinidae,0.01479,2.99,1,76,total length,4.02,53.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Selene,brevoortii,Carangidae,0.031363,2.670206,1,38,fork length,3.8,32.73,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Plectorhinchus,gaterinus,Haemulidae,0.01349,3.01,1,50,total length,3.99,40.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Labracinus,melanotaenia,Pseudochromidae,0.01995,3.01,1,23.5,total length,3.9,32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Neopomacentrus,taeniurus,Pomacentridae,0.0724,2.262,0.809,10,total length,3.4,20.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Elacatinus,lori,Gobiidae,,,1,,,,,"Tropical Atlantic",,,,
Cirrhilabrus,jordani,Labridae,0.0166,2.95,1,10,total length,3.4,17.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Etelis,coruscans,Lutjanidae,0.022562,2.815867,1,120,total length,4.42,45.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Girella,freminvillii,Kyphosidae,0.01549,3.06,1,45,total length,2,37.75,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,large group
Urobatis,concentricus,Urotrygonidae,0.00977,3.08,1,47.5,total length,3.3,24.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Iniistius,pavo,Labridae,0.01122,3.04,1,42,total length,3.54,40.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Canthigaster,punctatissima,Tetraodontidae,0.0323,2.953,1,9,total length,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,
Canthidermis,maculata,Balistidae,0.0257,2.94,1,50,total length,3.47,44.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Halichoeres,cosmetus,Labridae,0.01,3.08,1,13,total length,3.4,22.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Scomberoides,tol,Carangidae,0.010682,2.829328,1,60,total length,4.5,23.94,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Hemitaurichthys,zoster,Chaetodontidae,0.02188,3.02,1,18,total length,2.85,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Gymnothorax,vicinus,Muraenidae,0.000988,2.93175,1,122,total length,4.26,59.6,"Tropical Atlantic",,piscivore,pisci-invertivore,solitary
Polydactylus,virginicus,Polynemidae,0.009891,3.006435,1,33,total length,3.7,22.13,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Naso,maculatus,Acanthuridae,0.01995,3,1,60,total length,2.3,38.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pempheris,poeyi,Pempheridae,0.01585,2.99,1,15,total length,3.4,23,"Tropical Atlantic",,planktivore,planktivore,large group
Acanthopagrus,latus,Sparidae,0.024319,2.93927,1,40,fork length,3.84,28.27,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Upeneus,australiae,Mullidae,0.01047,3.09,1,16,standard length,3.39,22.54,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Pomachromis,fuscidorsalis,Pomacentridae,0.01479,2.98,1,6,standard length,3.5,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Microlepidotus,inornatus,Haemulidae,0.0151,2.93,1,45,total length,3.55,39.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,large group
Torquigener,pleurogramma,Tetraodontidae,0.01778,2.89,1,21,total length,3.4,18.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Anthias,noeli,Serranidae,0.00933,2.97,1,29,total length,3.6,31.65,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Parma,kermadecensis,Pomacentridae,0.02239,2.99,1,22,standard length,2.7,39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Dermatolepis,inermis,Serranidae,0.0015,3.551,1,91,total length,4.5,58.97,"Tropical Atlantic",,piscivore,piscivore,solitary
Epinephelus,merra,Serranidae,0.013138,3.109829,1,32,total length,4.38,28.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chaetodontoplus,niger,Pomacanthidae,0.0302,2.89,1,25,total length,2.69,30.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Meiacanthus,vittatus,Blenniidae,0.00562,3.06,1,8.5,total length,3.4,16,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,solitary
Chrysiptera,unimaculata,Pomacentridae,0.01479,2.98,1,10,total length,2.08,20,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Enchelycore,pardalis,Muraenidae,0.00155,3.11,1,92,total length,4.5,56.99,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,
Pomacanthus,imperator,Pomacanthidae,0.0371,2.968,1,40,standard length,2.7,49.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,solitary
Liopropoma,mitratum,Serranidae,0.01122,3.04,1,9,total length,3.4,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Dascyllus,trimaculatus,Pomacentridae,0.02577,3.04325,1,14,total length,2.8,25.07,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Rastrelliger,brachysoma,Scombridae,0.01096,3.05,1,34.5,fork length,2.72,17.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Ostracion,cubicus,Ostraciidae,0.101,2.588,1,45,total length,3.37,23.35,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,cropper/grazer,small group
Pomacentrus,imitator,Pomacentridae,0.01019,3.46896,0.944,11,total length,2.6,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Gymnothorax,monostigma,Muraenidae,0.00095,3.1,1,65,total length,4,45.56,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Oxycheilinus,digramma,Labridae,0.0389,2.847,0.848,40,standard length,3.7,52.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Aphareus,furca,Lutjanidae,0.0277,2.87,0.86881,70,total length,4.14,35.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Acanthurus,nigricauda,Acanthuridae,0.015087,3.021904,1,40,total length,2.99,24.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Dactylopterus,volitans,Dactyloscopidae,0.0126,2.95,1,50,standard length,3.7,31,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,solitary
Suezichthys,cyanolaemus,Labridae,0.00447,3.14,1,9.7,standard length,3.5,21.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Calamus,pennatula,Sparidae,0.012583,3.105488,1,37,total length,3.72,37.77,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,medium group
Decapterus,macrosoma,Carangidae,0.004687,3.200718,1,35,total length,3.4,24.25,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Chrysiptera,niger,Pomacentridae,0.01479,2.98,1,7,total length,2.7,14,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Genicanthus,caudovittatus,Pomacanthidae,0.0302,2.89,1,20,total length,3.4,26.64,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Corvula,sanctaeluciae,Sciaenidae,0.00891,3.07,1,26,total length,3.6,22.14,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,small group
Coris,auricularis,Labridae,0.01,3.06,1,40,total length,3.5,50.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Lutjanus,synagris,Lutjanidae,0.034103,2.818192,1,60,total length,3.82,38.46,"Tropical Atlantic",,invertivore-mobile,macro-invertivore,large group
Siganus,randalli,Siganidae,0.0287,2.93,0.95,33.5,fork length,2,24.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,medium group
Tylosurus,acus acus,Belonidae,0.0025,2.86,1,153,total length,4.48,71.61,"Tropical Atlantic",,piscivore,piscivore,small group
Acanthurus,gahhm,Acanthuridae,0.02291,2.96,1,40,total length,2.76,32.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Ctenochaetus,flavicauda,Acanthuridae,0.02344,2.97,1,16,total length,2,16.13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,detritivore,small group
Amphiprion,percula,Pomacentridae,0.01122,3.04,1,11,total length,2.7,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Chaetodon,reticulatus,Chaetodontidae,0.02291,3.01,1,18,total length,2.63,13.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Plagiotremus,goslinei,Blenniidae,0.00537,3.05,1,6.35,standard length,4,15.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,cleaner,
Pristicon,trimaculatus,Apogonidae,0.04191,2.730786,1,14.16,standard length,3.5,18.7,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Chaetodontoplus,septentrionalis,Pomacanthidae,0.0302,2.89,1,22,total length,2.66,28.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,
Acanthurus,chronixis,Acanthuridae,0.02291,2.96,1,28,total length,2.18,25.7,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Chromis,iomelas,Pomacentridae,0.01221,3.094234,1,8,fork length,2.69,18.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Scarus,viridifucatus,Scaridae,0.01445,3.04,1,45,total length,2,32.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,
