Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Parapriacanthus,elongatus,Pempheridae,Parapriacanthus elongatus,0.01122,3.04,1,14,total length,3.4,21.39,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Rhomboplites,aurorubens,Lutjanidae,Rhomboplites aurorubens,0.020378,2.872584,1,60,total length,4.36,49.58,Tropical Atlantic,,piscivore,pisci-invertivore,large group
Paraplesiops,meleagris,Plesiopidae,Paraplesiops meleagris,0.00468,3.18,1,33,total length,3.97,41.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,pair
Liopropoma,fasciatum,Serranidae,Liopropoma fasciatum,0.01122,3.04,1,17.8,standard length,3.6,28.78,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,micro-invertivore,
Carcharias,taurus,Odontaspididae,Carcharias taurus,0.0106,2.687,1,330,total length,4.44,58.1,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",,piscivore,piscivore,small group
Amphiprion,clarkii,Pomacentridae,Amphiprion clarkii,0.02291,2.99,1,15,standard length,2.64,31.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Cephalopholis,aurantia,Serranidae,Cephalopholis aurantia,0.01259,3.05,1,60,total length,3.98,48.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Dischistodus,pseudochrysopoecilus,Pomacentridae,Dischistodus pseudochrysopoecilus,0.01479,2.98,1,18,total length,2,29,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,
Trachinotus,cayennensis,Carangidae,Trachinotus cayennensis,0.01288,2.97,1,60,total length,3.7,35.01,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Harengula,clupeola,Clupeidae,Harengula clupeola,0.006904,3.22421,1,18,total length,3.5,17.07,Tropical Atlantic,,planktivore,planktivore,large group
Parupeneus,minys,Mullidae,Parupeneus minys,0.01202,3.09,1,10.65,standard length,3.3,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Ostorhinchus,norfolcensis,Apogonidae,Ostorhinchus norfolcensis,0.0082,3.27709,1,15,total length,3.5,15.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Apolemichthys,griffisi,Pomacanthidae,Apolemichthys griffisi,0.0302,2.89,1,30,total length,3,32.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,small group
Acanthistius,ocellatus,Serranidae,Acanthistius ocellatus,0.00933,2.97,1,45,total length,4.1,46.57,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Pseudanthias,heemstrai,Serranidae,Pseudanthias heemstrai,0.00933,2.97,1,13,total length,3.4,19.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Lepidozygus,tapeinosoma,Pomacentridae,Lepidozygus tapeinosoma,0.01479,2.98,1,10.5,total length,3.4,21.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Chromis,flavipectoralis,Pomacentridae,Chromis flavipectoralis,0.01778,2.99,1,8,total length,3,16.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Pteragogus,cryptus,Labridae,Pteragogus cryptus,0.0166,2.95,1,9.5,total length,3.5,16.55,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Johnrandallia,nigrirostris,Chaetodontidae,Johnrandallia nigrirostris,0.021,3.215,1,20,total length,2.97,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,medium group
Emblemariopsis,randalli,Chaenopsidae,Emblemariopsis randalli,0.00457,3.08,1,3.8,total length,3.4,10,Tropical Atlantic,,planktivore,planktivore,large group
Iniistius,auropunctatus,Labridae,Iniistius auropunctatus,0.01122,3.04,1,12.9,standard length,3.4,27,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Gomphosus,caeruleus,Labridae,Gomphosus caeruleus,0.01838,2.70269,1,32,total length,3.5,35.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pardachirus,marmoratus,Soleidae,Pardachirus marmoratus,0.01122,3.07,1,26,total length,3.5,32.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Pomacanthus,semicirculatus,Pomacanthidae,Pomacanthus semicirculatus,0.0309,2.9,1,40,standard length,2.69,49.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,spongivore,solitary
Epinephelus,sexfasciatus,Serranidae,Epinephelus sexfasciatus,0.0265,2.877,1,40,total length,3.8,26.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Urophycis,regia,Phycidae,Urophycis regia,0.00676,3.14,1,41,total length,3.73,36,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Chrysiptera,sheila,Pomacentridae,Chrysiptera sheila,0.02239,2.99,1,10.3,total length,2.6,22,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Centropyge,bispinosus,Pomacanthidae,Centropyge bispinosus,,,1,,,,,,,,,
Ogilbyina,salvati,Pseudochromidae,Ogilbyina salvati,0.02178,2.75249,1,5.9,standard length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Myrichthys,breviceps,Ophichthidae,Myrichthys breviceps,0.00148,2.91,1,102,total length,3.7,49.98,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Carangoides,ferdau,Carangidae,Carangoides ferdau,0.025497,2.83241,1,70,total length,3.98,43.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Malacoctenus,aurolineatus,Labrisomidae,Malacoctenus aurolineatus,0.00891,3.064,1,6,total length,3.15,10,Tropical Atlantic,,invertivore-mobile,micro-invertivore,solitary
Starksia,starcki,Labrisomidae,Starksia starcki,0.01,3.04,1,4,total length,3.4,10,Tropical Atlantic,,invertivore-mobile,micro-invertivore,solitary
Zapteryx,exasperata,Rhinobatidae,Zapteryx exasperata,0.00646,2.98,1,83,,3.55,41.42,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Sufflamen,verres,Balistidae,Sufflamen verres,0.02972,2.957254,1,40,total length,3.27,35.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Naso,mcdadei,Acanthuridae,Naso mcdadei,0.01995,3,1,75,standard length,2.72,57,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,large group
Gobiodon,okinawae,Gobiidae,Gobiodon okinawae,0.01995,3.01,1,3.5,total length,3.2,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Chaetodontoplus,personifer,Pomacanthidae,Chaetodontoplus personifer,0.0302,2.89,1,35,total length,2.69,34.97,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,spongivore,pair
Istigobius,decoratus,Gobiidae,Istigobius decoratus,0.019968,2.73918,1,13,total length,3.4,24.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pomacentrus,proteus,Pomacentridae,Pomacentrus proteus,0.02344,2.98,1,10,total length,2.7,,Western Indo-Pacific,,planktivore,detritivore,
Labrisomus,nuchipinnis,Labrisomidae,Labrisomus nuchipinnis,0.0084,3.2,1,23,total length,3.52,11.94,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Nemipterus,vitiensis,Nemipteridae,Nemipterus vitiensis,0.01413,2.96,1,22,standard length,3.8,27.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Pseudolabrus,torotai,Labridae,Pseudolabrus torotai,0.01995,2.99,1,15.8,standard length,3.3,30,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Scarus,altipinnis,Scaridae,Scarus altipinnis,0.0206,3,1,60,total length,2,38.38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,large group
Scarus,obishime,Scaridae,Scarus obishime,0.00794,3.11,1,70,standard length,2,51.63,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,scraper,
Chromis,dasygenys,Pomacentridae,Chromis dasygenys,0.01778,2.99,1,12,total length,2.64,23.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Lethrinus,olivaceus,Lethrinidae,Lethrinus olivaceus,0.025937,2.829751,1,100,total length,4.2,39.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,large group
Chaetodon,unimaculatus,Chaetodontidae,Chaetodon unimaculatus,0.0533,2.83328,1,20,total length,3.21,15.01,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Cephalopholis,hemistiktos,Serranidae,Cephalopholis hemistiktos,0.01259,3.05,1,35,total length,4.02,57.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,pair
Pomachromis,richardsoni,Pomacentridae,Pomachromis richardsoni,0.01479,2.98,1,6,standard length,2.96,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,medium group
Macropharyngodon,geoffroy,Labridae,Macropharyngodon geoffroy,0.01,3.06,1,15,total length,3.5,24.31,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Suezichthys,devisi,Labridae,Suezichthys devisi,0.00447,3.14,1,14,total length,3.5,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Pseudanthias,mica,Serranidae,Pseudanthias mica,0.00933,2.97,1,5.61,standard length,3.3,10.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Coryphaena,equiselis,Coryphaenidae,Coryphaena equiselis,0.01,2.84,1,146,total length,4.5,39,Tropical Atlantic,,piscivore,pisci-invertivore,medium group
Tigrigobius,macrodon,Gobiidae,Tigrigobius macrodon,0.00631,3.09,1,5,total length,3.2,11,Tropical Atlantic,,invertivore-mobile,micro-invertivore,small group
Neatypus,obliquus,Kyphosidae,Neatypus obliquus,0.02291,2.99,1,22,total length,3.45,26.82,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Leptojulis,lambdastigma,Labridae,Leptojulis lambdastigma,0.00977,3.05,1,13.7,standard length,3.8,27,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pseudanthias,taeniatus,Serranidae,Pseudanthias taeniatus,0.01514,2.92,1,13,total length,3.4,19.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Pomacentrus,alleni,Pomacentridae,Pomacentrus alleni,0.01479,2.98,1,6,total length,2.74,12.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Lutjanus,papuensis,Lutjanidae,Lutjanus papuensis,0.01445,2.98,1,25.9,standard length,3.94,30.36,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Hypoplectrus,chlorurus,Serranidae,Hypoplectrus chlorurus,0.01778,3.03,1,12.7,total length,3.88,16.74,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Epinephelus,awoara,Serranidae,Epinephelus awoara,0.01148,3.04,1,60,total length,3.64,48.76,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Pempheris,oualensis,Pempheridae,Pempheris oualensis,0.01445,2.98,1,22,total length,3.58,28.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Sillago,ciliata,Sillaginidae,Sillago ciliata,0.003262,3.34807,1,51,total length,3.36,27.63,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,large group
Scorpaenodes,parvipinnis,Scorpaenidae,Scorpaenodes parvipinnis,0.02542,2.99886,1,14,total length,3.6,30.22,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Amblyrhynchotes,honckenii,Tetraodontidae,Amblyrhynchotes honckenii,0.0497,2.97,0.810373,30,total length,3.4,24.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Choerodon,jordani,Labridae,Choerodon jordani,0.01259,3.05,1,17,total length,3.5,25.85,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Trachinotus,africanus,Carangidae,Trachinotus africanus,0.01288,2.96,1,92,total length,3.32,45.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Sargocentron,shimizui,Holocentridae,Sargocentron shimizui,0.0166,2.97,1,7.28,standard length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Parupeneus,crassilabris,Mullidae,Parupeneus crassilabris,0.00576,3.313934,1,38,total length,3.45,32.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Sphoeroides,nephelus,Tetraodontidae,Sphoeroides nephelus,0.0167,3,1,30,total length,3.5,24.56,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Hypoplectrus,indigo,Serranidae,Hypoplectrus indigo,0.01778,3.03,1,14.25,total length,3.9,20.28,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Lachnolaimus,maximus,Labridae,Lachnolaimus maximus,0.01941,2.95,1,91,total length,4.17,67.1,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Sargocentron,vexillarium,Holocentridae,Sargocentron vexillarium,0.0158,3.0514,1,18,total length,3.63,12.93,Tropical Atlantic,,invertivore-mobile,macro-invertivore,small group
Pseudochromis,marshallensis,Pseudochromidae,Pseudochromis marshallensis,0.00501,3.11,1,8,total length,3.5,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Halichoeres,semicinctus,Labridae,Halichoeres semicinctus,0.01,3.08,1,38,total length,3.26,32.18,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Rypticus,courtenayi,Serranidae,Rypticus courtenayi,0.01738,3.01,1,19,standard length,4,30.36,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Chaetodon,melannotus,Chaetodontidae,Chaetodon melannotus,0.029941,3.011927,1,18,total length,3.47,47.26,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,pair
Apogon,dovii,Apogonidae,Apogon dovii,0.01072,3.1,1,7.5,total length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pseudanthias,privitera,Serranidae,Pseudanthias privitera,0.00933,2.97,1,5.52,standard length,3.3,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Neoniphon,sammara,Holocentridae,Neoniphon sammara,0.00489,3.379,1,32,total length,3.62,25.61,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Opistognathus,scops,Opistognathidae,Opistognathus scops,0.00389,3.12,1,12,total length,3.82,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Choerodon,cephalotes,Labridae,Choerodon cephalotes,0.01259,3.05,1,38,total length,3.37,37.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Bovichtus,angustifrons,Bovichtidae,Bovichtus angustifrons,0.01,3.04,1,28,total length,,14.9,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,,,small group
Acanthopagrus,bifasciatus,Sparidae,Acanthopagrus bifasciatus,0.01549,3.04,1,36.2,standard length,3.39,37.35,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Aetobatus,ocellatus,Myliobatidae,Aetobatus ocellatus,0.0038,3.08,1,152.8,total length,3.6,60.91,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Exallias,brevis,Blenniidae,Exallias brevis,0.01995,3.01,1,14.5,total length,3.13,25.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-sessile,corallivore,
Stolephorus,indicus,Engraulidae,Stolephorus indicus,0.005751,3.219242,1,15.5,standard length,3.84,13.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Rhinecanthus,rectangulus,Balistidae,Rhinecanthus rectangulus,0.0522,2.641,1,30,total length,3.5,31.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Scorpaena,histrio,Scorpaenidae,Scorpaena histrio,0.01778,3.04,1,26,total length,3.7,36.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Lethrinus,laticaudis,Lethrinidae,Lethrinus laticaudis,0.01479,2.99,1,56,total length,3.97,40.56,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,medium group
Archosargus,rhomboidalis,Sparidae,Archosargus rhomboidalis,0.017783,3.029377,1,33,total length,2.9,36.57,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Pholidichthys,leucotaenia,Pholidichthyidae,Pholidichthys leucotaenia,0.00389,3.12,1,34,total length,3.5,18.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Callogobius,sclateri,Gobiidae,Callogobius sclateri,0.00891,3.07,1,7,total length,3.3,14.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Calotomus,zonarchus,Scaridae,Calotomus zonarchus,0.01995,3.01,1,33,total length,2,26.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,cropper/grazer,small group
Ostorhinchus,margaritophorus,Apogonidae,Ostorhinchus margaritophorus,0.00646,3.19,1,6.5,total length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Aetobatus,flagellum,Myliobatidae,Aetobatus flagellum,0.028834,3.182922,1,72,wing diameter,3.6,64.43,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,medium group
Orthopristis,chrysoptera,Haemulidae,Orthopristis chrysoptera,0.01788,3.01,1,46,standard length,3.42,50.68,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Opistognathus,whitehursti,Opistognathidae,Opistognathus whitehursti,0.00389,3.12,1,14,total length,3.7,10,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Plectranthias,alcocki,Serranidae,Plectranthias alcocki,0.00389,3.12,1,7.22,standard length,3.7,12.93,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Lethrinus,erythracanthus,Lethrinidae,Lethrinus erythracanthus,0.0183,3.02,0.959,70,total length,3.41,46.28,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Coris,caudimacula,Labridae,Coris caudimacula,0.01,3.06,1,20,total length,3.38,28.6,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Arothron,immaculatus,Tetraodontidae,Arothron immaculatus,0.0351,2.84464,1,30,total length,2.52,24.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,
Amphiprion,akindynos,Pomacentridae,Amphiprion akindynos,0.027867,2.902918,1,9,standard length,2.65,23.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Bodianus,dictynna,Labridae,Bodianus dictynna,0.01202,3.06,1,14.4,standard length,3.5,28.7,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pseudanthias,cooperi,Serranidae,Pseudanthias cooperi,0.00933,2.97,1,14,total length,3.4,20.79,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Uraspis,helvola,Carangidae,Uraspis helvola,0.01413,2.96,1,58,total length,3.78,34.41,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Parupeneus,fraserorum,Mullidae,Parupeneus fraserorum,0.01202,3.09,1,22.3,standard length,3.4,29.13,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Antennarius,multiocellatus,Antennariidae,Antennarius multiocellatus,0.01995,3.01,1,20,total length,4.3,10,Tropical Atlantic,,piscivore,piscivore,solitary
Cephalopholis,polyspila,Serranidae,Cephalopholis polyspila,0.01259,3.05,1,18.8,standard length,4,29.98,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Dascyllus,flavicaudus,Pomacentridae,Dascyllus flavicaudus,0.02239,2.99,1,12,total length,3,23.46,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Scorpaena,papillosa,Scorpaenidae,Scorpaena papillosa,0.00913,3.137,1,30,total length,4.01,45.03,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Parascyllium,variolatum,Parascylliidae,Parascyllium variolatum,0.00389,3.12,1,91,total length,3.8,50.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Cryptocentrus,strigilliceps,Gobiidae,Cryptocentrus strigilliceps,0.00617,3.08,1,12,total length,3.4,24.15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Macropharyngodon,pakoko,Labridae,Macropharyngodon pakoko,0.01,3.06,1,7.2,standard length,3.4,15,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Plectorhinchus,cinctus,Haemulidae,Plectorhinchus cinctus,0.0195,2.96,1,60,total length,3.51,47.05,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Cephalopholis,sonnerati,Serranidae,Cephalopholis sonnerati,0.013401,3.159971,1,57,total length,3.81,46.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,
Parastromateus,niger,Carangidae,Parastromateus niger,0.029563,2.895929,1,75,total length,2.93,30.19,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Hoplopagrus,guentherii,Lutjanidae,Hoplopagrus guentherii,0.0228,3,1,92,total length,3.85,53.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,solitary
Lutjanus,sanguineus,Lutjanidae,Lutjanus sanguineus,0.01445,2.98,1,100,total length,4.49,46.62,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Oligoplites,palometa,Carangidae,Oligoplites palometa,0.0201,2.715,1,49.7,total length,4.3,31.58,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Abudefduf,concolor,Pomacentridae,Abudefduf concolor,0.02455,3.01,1,19,total length,2.68,29.65,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,planktivore,small group
Megalops,cyprinoides,Megalopidae,Megalops cyprinoides,0.014084,3.029224,0.784,150,total length,3.91,66.98,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Sphoeroides,testudineus,Tetraodontidae,Sphoeroides testudineus,0.026586,2.980693,1,38.8,total length,3.4,21.61,Tropical Atlantic,,invertivore-mobile,macro-invertivore,solitary
Holacanthus,limbaughi,Pomacanthidae,Holacanthus limbaughi,0.0302,2.89,1,25,total length,2.6,30,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,
Meiacanthus,ditrema,Blenniidae,Meiacanthus ditrema,0.00537,3.05,1,6.5,total length,3.4,13.37,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Pogonias,cromis,Sciaenidae,Pogonias cromis,0.018087,2.914871,1,170,total length,3.9,61.72,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Pterois,volitans,Scorpaenidae,Pterois volitans,0.0104,3.3,1,38,total length,4.35,33.61,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,solitary
Xenocys,jessiae,Haemulidae,Xenocys jessiae,0.00389,3.12,1,30,total length,3.4,31.32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,large group
Achirus,achirus,Achiridae,Achirus achirus,0.0168,2.995,1,37,total length,4.01,36.05,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Bairdiella,chrysoura,Sciaenidae,Bairdiella chrysoura,0.0178,3.05,0.85,30,total length,3.2,20.52,Tropical Atlantic,,invertivore-mobile,macro-invertivore,medium group
Parupeneus,diagonalis,Mullidae,Parupeneus diagonalis,0.01202,3.09,1,16.5,standard length,3.4,23.24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
